Part,Value,Device,Package,Description,BUTTON_ACTION,BUTTON_POWER,BUTTON_X,BUTTON_Y,CONNECTION_STATUS,COPYRIGHT,DATASHEET-URL,DESCRIPTION,DIGI-KEY_PART_NUMBER_1,DIGI-KEY_PART_NUMBER_2,DIGI-KEY_PART_NUMBER_3,ELECTRO_INDEX,ELECTRO_MIDDLE,ELECTRO_PINKY,ELECTRO_RING,ELECTRO_THUMB,FLEX_INDEX,FLEX_MIDDLE,FLEX_PINKY,FLEX_RING,FLEX_THUMB,GENDER,HEIGHT,IR,MANUFACTURER,MANUFACTURER_NAME,MANUFACTURER_PART_NUMBER,MAXIMUM_PACKAGE_HEIGHT,MFR_NAME,MIC2876,MOUNT,MOUSER_PART_NUMBER,MOUSER_PRICE-STOCK,PACKAGING,PART-NUMBER,PARTREV,PINS,PITCH,POWER_STATUS,REFDES,ROWS,STANDARD,TYPE,VALUE,VIBRATOR_INDEX,VIBRATOR_MIDDLE,VIBRATOR_PINKY,VIBRATOR_RING,VIBRATOR_THUMB
J7,FX_P,61300211121CONN_61300211121_WRE,CONN_61300211121_WRE,,,,,,,"Copyright (C) 2024 Ultra Librarian. All rights reserved.",,,,,,,,,,,,,,,,,,,,,61300211121,,"Wurth Electronics",,,,,,,,,,,,,,,,,,,,
J8,FX_R,61300211121CONN_61300211121_WRE,CONN_61300211121_WRE,,,,,,,"Copyright (C) 2024 Ultra Librarian. All rights reserved.",,,,,,,,,,,,,,,,,,,,,61300211121,,"Wurth Electronics",,,,,,,,,,,,,,,,,,,,
J9,FX_M,61300211121CONN_61300211121_WRE,CONN_61300211121_WRE,,,,,,,"Copyright (C) 2024 Ultra Librarian. All rights reserved.",,,,,,,,,,,,,,,,,,,,,61300211121,,"Wurth Electronics",,,,,,,,,,,,,,,,,,,,
J10,FX_I,61300211121CONN_61300211121_WRE,CONN_61300211121_WRE,,,,,,,"Copyright (C) 2024 Ultra Librarian. All rights reserved.",,,,,,,,,,,,,,,,,,,,,61300211121,,"Wurth Electronics",,,,,,,,,,,,,,,,,,,,
J11,FX_T,61300211121CONN_61300211121_WRE,CONN_61300211121_WRE,,,,,,,"Copyright (C) 2024 Ultra Librarian. All rights reserved.",,,,,,,,,,,,,,,,,,,,,61300211121,,"Wurth Electronics",,,,,,,,,,,,,,,,,,,,
J12,VM_P,61300211121CONN_61300211121_WRE,CONN_61300211121_WRE,,,,,,,"Copyright (C) 2024 Ultra Librarian. All rights reserved.",,,,,,,,,,,,,,,,,,,,,61300211121,,"Wurth Electronics",,,,,,,,,,,,,,,,,,,,
J13,VM_R,61300211121CONN_61300211121_WRE,CONN_61300211121_WRE,,,,,,,"Copyright (C) 2024 Ultra Librarian. All rights reserved.",,,,,,,,,,,,,,,,,,,,,61300211121,,"Wurth Electronics",,,,,,,,,,,,,,,,,,,,
J14,VM_M,61300211121CONN_61300211121_WRE,CONN_61300211121_WRE,,,,,,,"Copyright (C) 2024 Ultra Librarian. All rights reserved.",,,,,,,,,,,,,,,,,,,,,61300211121,,"Wurth Electronics",,,,,,,,,,,,,,,,,,,,
J15,VM_I,61300211121CONN_61300211121_WRE,CONN_61300211121_WRE,,,,,,,"Copyright (C) 2024 Ultra Librarian. All rights reserved.",,,,,,,,,,,,,,,,,,,,,61300211121,,"Wurth Electronics",,,,,,,,,,,,,,,,,,,,
J16,VM_T,61300211121CONN_61300211121_WRE,CONN_61300211121_WRE,,,,,,,"Copyright (C) 2024 Ultra Librarian. All rights reserved.",,,,,,,,,,,,,,,,,,,,,61300211121,,"Wurth Electronics",,,,,,,,,,,,,,,,,,,,
